Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Items
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Saw
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Axe
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Sleeping bag
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Gill net
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Food ration
13,2,4,"Quatsino, British Columbia, Canada",Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Food ration
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Axe
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Ferro rod
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Pot
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Climbing Rope
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Saw
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Multitool
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Sleeping bag
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Hammock
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Food ration
14,2,5,"Quatsino, British Columbia, Canada",Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Food ration
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Axe
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Knife
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Ferro rod
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Pot
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Fishing line and hooks
15,2,6,"Quatsino, British Columbia, Canada",Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Saw
